,site,metric,param_index,run_index,indexes,accuracies,false_negatives
0,npp_c_cali,0.9206349206349208,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9849397590361446, 0.9849397590361446]","[8, 8]"
1,npp_c_grav,0.8988764044943819,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.973293768545994, 0.973293768545994]","[8, 8]"
2,npp_c_sand,0.840764331210191,2,1,"['ensemble_avg', 'ensemble_uniq_avg']","[0.9621785173978821, 0.9621785173978821]","[25, 25]"
3,npp_g_basn,0.8701754385964912,1,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9459064327485379, 0.9459064327485379]","[37, 37]"
4,npp_g_ibpe,0.7894736842105263,1,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9061583577712611, 0.9061583577712611]","[64, 64]"
5,npp_g_summ,0.8888888888888891,1,2,"['ensemble_avg', 'ensemble_or', 'ensemble_uniq_avg', 'ensemble_uniq_or']","[0.9868613138686132, 0.9868613138686132, 0.9868613138686132, 0.9868613138686132]","[9, 9, 9, 9]"
6,npp_m_nort,0.9320987654320988,3,2,"['ensemble_or', 'ensemble_uniq_or']","[0.967883211678832, 0.967883211678832]","[17, 17]"
7,npp_m_rabb,0.902439024390244,4,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9548872180451128, 0.9548872180451128]","[24, 24]"
8,npp_m_well,0.7748344370860927,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.8997050147492626, 0.8997050147492626]","[57, 57]"
9,npp_p_coll,0.771513353115727,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8874269005847953, 0.8874269005847953]","[77, 77]"
10,npp_p_smal,0.714828897338403,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8210023866348448, 0.8210023866348448]","[75, 75]"
11,npp_p_tobo,0.7526881720430108,4,1,"['ensemble_or', 'ensemble_uniq_or']","[0.8903020667726551, 0.8903020667726551]","[69, 69]"
12,npp_t_east,0.8895899053627759,2,3,"['ensemble_or', 'ensemble_uniq_or']","[0.9488304093567252, 0.9488304093567252]","[30, 30]"
13,npp_t_tayl,0.8352941176470589,4,2,"['ensemble_or', 'ensemble_uniq_or']","[0.9178885630498532, 0.9178885630498532]","[55, 55]"
14,npp_t_west,0.984709480122324,2,1,"['ensemble_or', 'ensemble_uniq_or']","[0.9926900584795322, 0.9926900584795322]","[5, 5]"
