,site,metric,param_index,run_index,indexes,accuracies,false_negatives
0,npp_c_cali,0.9,2,2,"['0', '1']","[0.9819277108433736, 0.9819277108433736]","[12, 12]"
1,npp_c_grav,0.8789808917197451,2,3,"['0', '1']","[0.9718100890207716, 0.9718100890207716]","[19, 19]"
2,npp_c_sand,0.840764331210191,2,1,"['0', '3', '4', '5', '6', '7']","[0.9621785173978821, 0.9621785173978821, 0.9621785173978821, 0.9621785173978821, 0.9621785173978821, 0.9621785173978821]","[25, 25, 25, 25, 25, 25]"
3,npp_g_basn,0.7803030303030303,4,1,['5'],[0.9152046783625732],[58]
4,npp_g_ibpe,0.6996466431095405,1,1,"['0', '1', '2', '3']","[0.875366568914956, 0.875366568914956, 0.875366568914956, 0.875366568914956]","[85, 85, 85, 85]"
5,npp_g_summ,0.8888888888888891,1,2,"['0', '2', '3', '4', '5', '6', '7', '8']","[0.9868613138686132, 0.9868613138686132, 0.9868613138686132, 0.9868613138686132, 0.9868613138686132, 0.9868613138686132, 0.9868613138686132, 0.9868613138686132]","[9, 9, 9, 9, 9, 9, 9, 9]"
6,npp_m_nort,0.7415730337078651,1,3,"['0', '1', '2']","[0.8992700729927007, 0.8992700729927007, 0.8992700729927007]","[69, 69, 69]"
7,npp_m_rabb,0.6893203883495146,3,1,"['0', '1', '2', '3', '4', '5', '6']","[0.8796992481203008, 0.8796992481203008, 0.8796992481203008, 0.8796992481203008, 0.8796992481203008, 0.8796992481203008, 0.8796992481203008]","[64, 64, 64, 64, 64, 64, 64]"
8,npp_m_well,0.7345454545454545,2,2,['0'],[0.8923303834808259],[73]
9,npp_p_coll,0.6688102893890675,4,1,['0'],[0.8494152046783626],[103]
10,npp_p_smal,0.6796875,1,2,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']","[0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638, 0.8042959427207638]","[82, 82, 82, 82, 82, 82, 82, 82, 82, 82]"
11,npp_p_tobo,0.6717557251908397,4,2,"['0', '1', '2']","[0.8632750397456279, 0.8632750397456279, 0.8632750397456279]","[86, 86, 86]"
12,npp_t_east,0.7518248175182481,1,1,['4'],[0.9005847953216374],[68]
13,npp_t_tayl,0.7290322580645162,4,3,"['0', '1', '2', '3', '4', '5']","[0.8768328445747801, 0.8768328445747801, 0.8768328445747801, 0.8768328445747801, 0.8768328445747801, 0.8768328445747801]","[84, 84, 84, 84, 84, 84]"
14,npp_t_west,0.7471698113207548,2,1,"['0', '1', '2', '3', '4']","[0.902046783625731, 0.902046783625731, 0.902046783625731, 0.902046783625731, 0.902046783625731]","[67, 67, 67, 67, 67]"
