,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8859649122807017,523,0,78,83,1.0,0.515527950310559,0.680327868852459
1,1,0.8845029239766082,523,0,79,82,1.0,0.5093167701863354,0.6748971193415638
2,2,0.8874269005847953,523,0,77,84,1.0,0.5217391304347826,0.6857142857142856
3,3,0.8845029239766082,523,0,79,82,1.0,0.5093167701863354,0.6748971193415638
4,4,0.8830409356725146,523,0,80,81,1.0,0.5031055900621118,0.6694214876033058
5,5,0.8830409356725146,523,0,80,81,1.0,0.5031055900621118,0.6694214876033058
6,6,0.8801169590643275,523,0,82,79,1.0,0.4906832298136646,0.6583333333333333
7,7,0.8654970760233918,523,0,92,69,1.0,0.42857142857142855,0.6
8,8,0.8581871345029239,523,0,97,64,1.0,0.39751552795031053,0.5688888888888889
9,9,0.847953216374269,523,0,104,57,1.0,0.35403726708074534,0.5229357798165137
10,ensemble_avg,0.868421052631579,523,0,90,71,1.0,0.4409937888198758,0.6120689655172413
11,ensemble_or,0.9254385964912281,523,0,51,110,1.0,0.6832298136645962,0.8118081180811808
12,ensemble_uniq_avg,0.868421052631579,523,0,90,71,1.0,0.4409937888198758,0.6120689655172413
13,ensemble_uniq_or,0.9254385964912281,523,0,51,110,1.0,0.6832298136645962,0.8118081180811808
