,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8464912280701754,477,0,105,102,1.0,0.4927536231884058,0.6601941747572816
1,1,0.8464912280701754,477,0,105,102,1.0,0.4927536231884058,0.6601941747572816
2,2,0.8450292397660819,477,0,106,101,1.0,0.48792270531400966,0.6558441558441559
3,3,0.8333333333333334,477,0,114,93,1.0,0.4492753623188406,0.62
4,4,0.8318713450292398,477,0,115,92,1.0,0.4444444444444444,0.6153846153846153
5,5,0.8347953216374269,477,0,113,94,1.0,0.45410628019323673,0.6245847176079734
6,6,0.8172514619883041,475,2,123,84,0.9767441860465116,0.4057971014492754,0.5733788395904437
7,7,0.8187134502923976,476,1,123,84,0.9882352941176471,0.4057971014492754,0.5753424657534247
8,8,0.8070175438596491,468,9,123,84,0.9032258064516129,0.4057971014492754,0.5599999999999999
9,9,0.8070175438596491,468,9,123,84,0.9032258064516129,0.4057971014492754,0.5599999999999999
10,ensemble_avg,0.8757309941520468,477,0,85,122,1.0,0.5893719806763285,0.7416413373860182
11,ensemble_or,0.8786549707602339,468,9,74,133,0.9366197183098591,0.642512077294686,0.7621776504297995
12,ensemble_uniq_avg,0.8464912280701754,477,0,105,102,1.0,0.4927536231884058,0.6601941747572816
13,ensemble_uniq_or,0.8786549707602339,468,9,74,133,0.9366197183098591,0.642512077294686,0.7621776504297995
