,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8523391812865497,513,0,101,70,1.0,0.4093567251461988,0.5809128630705394
1,1,0.8523391812865497,513,0,101,70,1.0,0.4093567251461988,0.5809128630705394
2,2,0.8508771929824561,513,0,102,69,1.0,0.40350877192982454,0.575
3,3,0.8494152046783626,513,0,103,68,1.0,0.39766081871345027,0.5690376569037656
4,4,0.847953216374269,513,0,104,67,1.0,0.391812865497076,0.5630252100840336
5,5,0.8464912280701754,513,0,105,66,1.0,0.38596491228070173,0.5569620253164557
6,6,0.8464912280701754,513,0,105,66,1.0,0.38596491228070173,0.5569620253164557
7,7,0.8421052631578947,513,0,108,63,1.0,0.3684210526315789,0.5384615384615384
8,8,0.8581871345029239,513,0,97,74,1.0,0.4327485380116959,0.6040816326530613
9,9,0.8362573099415205,513,0,112,59,1.0,0.34502923976608185,0.5130434782608695
10,ensemble_avg,0.8494152046783626,513,0,103,68,1.0,0.39766081871345027,0.5690376569037656
11,ensemble_or,0.9429824561403509,513,0,39,132,1.0,0.7719298245614035,0.8712871287128713
12,ensemble_uniq_avg,0.8464912280701754,513,0,105,66,1.0,0.38596491228070173,0.5569620253164557
13,ensemble_uniq_or,0.9429824561403509,513,0,39,132,1.0,0.7719298245614035,0.8712871287128713
