,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8695014662756598,498,0,89,95,1.0,0.5163043478260869,0.6810035842293907
1,1,0.8724340175953079,498,0,87,97,1.0,0.5271739130434783,0.6903914590747331
2,2,0.8695014662756598,498,0,89,95,1.0,0.5163043478260869,0.6810035842293907
3,3,0.8709677419354839,498,0,88,96,1.0,0.5217391304347826,0.6857142857142856
4,4,0.8621700879765396,498,0,94,90,1.0,0.4891304347826087,0.6569343065693432
5,5,0.8519061583577713,498,0,101,83,1.0,0.45108695652173914,0.6217228464419475
6,6,0.841642228739003,498,0,108,76,1.0,0.41304347826086957,0.5846153846153846
7,7,0.8343108504398827,498,0,113,71,1.0,0.3858695652173913,0.5568627450980392
8,8,0.7961876832844574,468,30,109,75,0.7142857142857143,0.4076086956521739,0.5190311418685121
9,9,0.8035190615835777,498,0,134,50,1.0,0.2717391304347826,0.4273504273504273
10,ensemble_avg,0.8695014662756598,498,0,89,95,1.0,0.5163043478260869,0.6810035842293907
11,ensemble_or,0.8387096774193549,468,30,80,104,0.7761194029850746,0.5652173913043478,0.6540880503144654
12,ensemble_uniq_avg,0.8519061583577713,498,0,101,83,1.0,0.45108695652173914,0.6217228464419475
13,ensemble_uniq_or,0.8387096774193549,468,30,80,104,0.7761194029850746,0.5652173913043478,0.6540880503144654
