,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.9658753709198813,586,0,23,65,1.0,0.7386363636363636,0.8496732026143791
1,1,0.9658753709198813,586,0,23,65,1.0,0.7386363636363636,0.8496732026143791
2,2,0.9629080118694362,586,0,25,63,1.0,0.7159090909090909,0.8344370860927153
3,3,0.9614243323442137,586,0,26,62,1.0,0.7045454545454546,0.8266666666666667
4,4,0.9599406528189911,586,0,27,61,1.0,0.6931818181818182,0.8187919463087248
5,5,0.9584569732937686,586,0,28,60,1.0,0.6818181818181818,0.8108108108108109
6,6,0.9272997032640949,576,10,39,49,0.8305084745762712,0.5568181818181818,0.6666666666666666
7,7,0.9362017804154302,586,0,43,45,1.0,0.5113636363636364,0.6766917293233083
8,8,0.9347181008902077,586,0,44,44,1.0,0.5,0.6666666666666666
9,9,0.93026706231454,586,0,47,41,1.0,0.4659090909090909,0.6356589147286822
10,ensemble_avg,0.9643916913946587,586,0,24,64,1.0,0.7272727272727273,0.8421052631578948
11,ensemble_or,0.9614243323442137,576,10,16,72,0.8780487804878049,0.8181818181818182,0.8470588235294119
12,ensemble_uniq_avg,0.9614243323442137,586,0,26,62,1.0,0.7045454545454546,0.8266666666666667
13,ensemble_uniq_or,0.9614243323442137,576,10,16,72,0.8780487804878049,0.8181818181818182,0.8470588235294119
