,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.7016706443914081,248,2,123,46,0.9583333333333334,0.27218934911242604,0.423963133640553
1,1,0.7016706443914081,248,2,123,46,0.9583333333333334,0.27218934911242604,0.423963133640553
2,2,0.7016706443914081,248,2,123,46,0.9583333333333334,0.27218934911242604,0.423963133640553
3,3,0.6992840095465394,248,2,124,45,0.9574468085106383,0.26627218934911245,0.41666666666666674
4,4,0.6992840095465394,248,2,124,45,0.9574468085106383,0.26627218934911245,0.41666666666666674
5,5,0.7016706443914081,248,2,123,46,0.9583333333333334,0.27218934911242604,0.423963133640553
6,6,0.684964200477327,249,1,131,38,0.9743589743589743,0.22485207100591717,0.3653846153846154
7,7,0.6968973747016707,248,2,125,44,0.9565217391304348,0.2603550295857988,0.40930232558139534
8,8,0.6921241050119332,248,2,127,42,0.9545454545454546,0.2485207100591716,0.39436619718309857
9,9,0.6873508353221957,248,2,129,40,0.9523809523809523,0.23668639053254437,0.37914691943127954
10,ensemble_avg,0.6992840095465394,248,2,124,45,0.9574468085106383,0.26627218934911245,0.41666666666666674
11,ensemble_or,0.7136038186157518,248,2,118,51,0.9622641509433962,0.30177514792899407,0.45945945945945943
12,ensemble_uniq_avg,0.6992840095465394,248,2,124,45,0.9574468085106383,0.26627218934911245,0.41666666666666674
13,ensemble_uniq_or,0.7136038186157518,248,2,118,51,0.9622641509433962,0.30177514792899407,0.45945945945945943
