,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
1,1,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
2,2,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
3,3,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
4,4,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
5,5,0.8251192368839427,452,3,107,67,0.9571428571428572,0.3850574712643678,0.5491803278688524
6,6,0.8203497615262321,452,3,110,64,0.9552238805970149,0.367816091954023,0.5311203319502074
7,7,0.8108108108108109,453,2,117,57,0.9661016949152542,0.3275862068965517,0.48927038626609437
8,8,0.8187599364069952,452,3,111,63,0.9545454545454546,0.3620689655172414,0.525
9,9,0.8235294117647058,452,3,108,66,0.9565217391304348,0.3793103448275862,0.54320987654321
10,ensemble_avg,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
11,ensemble_or,0.8473767885532592,452,3,93,81,0.9642857142857143,0.46551724137931033,0.627906976744186
12,ensemble_uniq_avg,0.8298887122416534,452,3,104,70,0.958904109589041,0.40229885057471265,0.5668016194331984
13,ensemble_uniq_or,0.8473767885532592,452,3,93,81,0.9642857142857143,0.46551724137931033,0.627906976744186
