,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8504398826979472,485,0,102,95,1.0,0.48223350253807107,0.6506849315068494
1,1,0.8504398826979472,485,0,102,95,1.0,0.48223350253807107,0.6506849315068494
2,2,0.8504398826979472,485,0,102,95,1.0,0.48223350253807107,0.6506849315068494
3,3,0.8607038123167156,485,0,95,102,1.0,0.5177664974619289,0.6822742474916388
4,4,0.8489736070381232,485,0,103,94,1.0,0.47715736040609136,0.6460481099656358
5,5,0.843108504398827,485,0,107,90,1.0,0.45685279187817257,0.627177700348432
6,6,0.843108504398827,485,0,107,90,1.0,0.45685279187817257,0.627177700348432
7,7,0.8401759530791789,485,0,109,88,1.0,0.4467005076142132,0.6175438596491228
8,8,0.8225806451612904,485,0,121,76,1.0,0.38578680203045684,0.5567765567765568
9,9,0.8079178885630498,485,0,131,66,1.0,0.3350253807106599,0.5019011406844107
10,ensemble_avg,0.843108504398827,485,0,107,90,1.0,0.45685279187817257,0.627177700348432
11,ensemble_or,0.8988269794721407,485,0,69,128,1.0,0.649746192893401,0.7876923076923077
12,ensemble_uniq_avg,0.8401759530791789,485,0,109,88,1.0,0.4467005076142132,0.6175438596491228
13,ensemble_uniq_or,0.8988269794721407,485,0,69,128,1.0,0.649746192893401,0.7876923076923077
