,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
1,1,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
2,2,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
3,3,0.8976608187134503,518,0,70,96,1.0,0.5783132530120482,0.7328244274809159
4,4,0.8976608187134503,518,0,70,96,1.0,0.5783132530120482,0.7328244274809159
5,5,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
6,6,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
7,7,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
8,8,0.8918128654970761,518,0,74,92,1.0,0.5542168674698795,0.7131782945736435
9,9,0.8698830409356725,507,11,78,88,0.8888888888888888,0.5301204819277109,0.6641509433962265
10,ensemble_avg,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
11,ensemble_or,0.9108187134502924,507,11,50,116,0.9133858267716536,0.6987951807228916,0.7918088737201366
12,ensemble_uniq_avg,0.8961988304093568,518,0,71,95,1.0,0.572289156626506,0.7279693486590039
13,ensemble_uniq_or,0.9108187134502924,507,11,50,116,0.9133858267716536,0.6987951807228916,0.7918088737201366
