,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
1,1,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
2,2,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
3,3,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
4,4,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
5,5,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
6,6,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
7,7,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
8,8,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
9,9,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
10,ensemble_avg,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
11,ensemble_or,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
12,ensemble_uniq_avg,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
13,ensemble_uniq_or,0.3215339233038348,50,454,6,168,0.27009646302250806,0.9655172413793104,0.4221105527638191
