,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8948905109489051,517,0,72,96,1.0,0.5714285714285714,0.7272727272727273
1,1,0.8934306569343066,517,0,73,95,1.0,0.5654761904761905,0.7224334600760456
2,2,0.8934306569343066,517,0,73,95,1.0,0.5654761904761905,0.7224334600760456
3,3,0.891970802919708,517,0,74,94,1.0,0.5595238095238095,0.7175572519083969
4,4,0.8905109489051095,517,0,75,93,1.0,0.5535714285714286,0.7126436781609196
5,5,0.8569343065693431,512,5,93,75,0.9375,0.44642857142857145,0.6048387096774194
6,6,0.8569343065693431,512,5,93,75,0.9375,0.44642857142857145,0.6048387096774194
7,7,0.8554744525547445,517,0,99,69,1.0,0.4107142857142857,0.5822784810126582
8,8,0.8569343065693431,517,0,98,70,1.0,0.4166666666666667,0.5882352941176471
9,9,0.8408759124087591,517,0,109,59,1.0,0.35119047619047616,0.5198237885462554
10,ensemble_avg,0.891970802919708,517,0,74,94,1.0,0.5595238095238095,0.7175572519083969
11,ensemble_or,0.9678832116788321,512,5,17,151,0.967948717948718,0.8988095238095238,0.9320987654320988
12,ensemble_uniq_avg,0.8802919708029197,517,0,82,86,1.0,0.5119047619047619,0.6771653543307087
13,ensemble_uniq_or,0.9678832116788321,512,5,17,151,0.967948717948718,0.8988095238095238,0.9320987654320988
