,Rule Index,Accuracy,True_Negatives,False_Positives,False_Negatives,True_Positives,Precision,Recall,F1 Score
0,0,0.8778195488721805,397,0,65,70,1.0,0.5185185185185185,0.6829268292682926
1,1,0.8778195488721805,397,0,65,70,1.0,0.5185185185185185,0.6829268292682926
2,2,0.8778195488721805,397,0,65,70,1.0,0.5185185185185185,0.6829268292682926
3,3,0.8759398496240601,397,0,66,69,1.0,0.5111111111111111,0.676470588235294
4,4,0.8759398496240601,397,0,66,69,1.0,0.5111111111111111,0.676470588235294
5,5,0.8703007518796992,397,0,69,66,1.0,0.4888888888888889,0.6567164179104478
6,6,0.8703007518796992,397,0,69,66,1.0,0.4888888888888889,0.6567164179104478
7,7,0.868421052631579,397,0,70,65,1.0,0.48148148148148145,0.65
8,8,0.8458646616541353,397,0,82,53,1.0,0.3925925925925926,0.5638297872340425
9,9,0.8402255639097744,397,0,85,50,1.0,0.37037037037037035,0.5405405405405406
10,ensemble_avg,0.8872180451127819,397,0,60,75,1.0,0.5555555555555556,0.7142857142857143
11,ensemble_or,0.9548872180451128,397,0,24,111,1.0,0.8222222222222222,0.9024390243902439
12,ensemble_uniq_avg,0.8703007518796992,397,0,69,66,1.0,0.4888888888888889,0.6567164179104478
13,ensemble_uniq_or,0.9548872180451128,397,0,24,111,1.0,0.8222222222222222,0.9024390243902439
